# tracer: nop
#
# entries-in-buffer/entries-written: 206/206   #P:40
#
#                                _-----=> irqs-off/BH-disabled
#                               / _----=> need-resched
#                              | / _---=> hardirq/softirq
#                              || / _--=> preempt-depth
#                              ||| / _-=> migrate-disable
#                              |||| /     delay
#           TASK-PID     CPU#  |||||  TIMESTAMP  FUNCTION
#              | |         |   |||||     |         |
             vmm-26879   [002] ..... 99969.582809: kvm_mmio: mmio write len 4 gpa 0x10000050 val 0x0
             vmm-26879   [002] d..1. 99969.582816: kvm_entry: vcpu 0, rip 0x4ae
             vmm-26879   [002] d..1. 99969.582823: kvm_exit: vcpu 0 reason HLT rip 0x4b9 info1 0x0000000000000000 info2 0x0000000000000000 intr_info 0x00000000 error_code 0x00000000
    kworker/16:0-115     [016] ..... 99969.583034: kvm_set_irq: gsi 5 level 1 source 0
    kworker/16:0-115     [016] ..... 99969.583043: kvm_set_irq: gsi 5 level 0 source 0
             vmm-26879   [002] ..... 99969.583065: kvm_inj_virq: IRQ 0x25
             vmm-26879   [002] ..... 99969.583068: kvm_inj_virq: IRQ 0x25 [reinjected]
             vmm-26879   [002] d..1. 99969.583069: kvm_entry: vcpu 0, rip 0x4ba
             vmm-26879   [002] d..1. 99969.583077: kvm_exit: vcpu 0 reason EPT_VIOLATION rip 0x4ba info1 0x0000000000000782 info2 0x0000000080000025 intr_info 0x00000000 error_code 0x00000000
             vmm-26879   [002] ..... 99969.583091: kvm_inj_virq: IRQ 0x25 [reinjected]
             vmm-26879   [002] d..1. 99969.583092: kvm_entry: vcpu 0, rip 0x4ba
             vmm-26879   [002] d..1. 99969.583097: kvm_exit: vcpu 0 reason EPT_MISCONFIG rip 0x50d info1 0x0000000000000000 info2 0x0000000000000000 intr_info 0x00000000 error_code 0x00000000
             vmm-26879   [002] ..... 99969.583104: kvm_mmio: mmio unsatisfied-read len 4 gpa 0x10000060 val 0x0
             vmm-26879   [002] ..... 99969.583109: kvm_userspace_exit: reason KVM_EXIT_MMIO (6)
             vmm-26879   [002] ..... 99969.583158: kvm_mmio: mmio read len 4 gpa 0x10000060 val 0x1
             vmm-26879   [002] d..1. 99969.583163: kvm_entry: vcpu 0, rip 0x512
             vmm-26879   [002] d..1. 99969.583171: kvm_exit: vcpu 0 reason EPT_MISCONFIG rip 0x519 info1 0x0000000000000000 info2 0x0000000000000000 intr_info 0x00000000 error_code 0x00000000
             vmm-26879   [002] ..... 99969.583178: kvm_mmio: mmio write len 4 gpa 0x10000064 val 0x1
             vmm-26879   [002] ..... 99969.583184: kvm_userspace_exit: reason KVM_EXIT_MMIO (6)
             vmm-26879   [002] d..1. 99969.583228: kvm_entry: vcpu 0, rip 0x523
             vmm-26879   [002] d..1. 99969.583236: kvm_exit: vcpu 0 reason IO_INSTRUCTION rip 0x53b info1 0x0000000000200040 info2 0x0000000000000000 intr_info 0x00000000 error_code 0x00000000
             vmm-26879   [002] d..1. 99969.583245: kvm_entry: vcpu 0, rip 0x53d
             vmm-26879   [002] d..1. 99969.583250: kvm_exit: vcpu 0 reason IO_INSTRUCTION rip 0x4e6 info1 0x0000000000820040 info2 0x0000000000000000 intr_info 0x00000000 error_code 0x00000000
             vmm-26879   [002] ..... 99969.583256: kvm_userspace_exit: reason KVM_EXIT_IO (2)
