# tracer: nop
#
# entries-in-buffer/entries-written: 2647/2647   #P:40
#
#                                _-----=> irqs-off/BH-disabled
#                               / _----=> need-resched
#                              | / _---=> hardirq/softirq
#                              || / _--=> preempt-depth
#                              ||| / _-=> migrate-disable
#                              |||| /     delay
#           TASK-PID     CPU#  |||||  TIMESTAMP  FUNCTION
#              | |         |   |||||     |         |
             vmm-36697   [031] ...1. 136276.021796: kvm_tdp_mmu_spte_changed: as id 0 gfn 3b level 1 old_spte 0 new_spte 5a0
             vmm-36697   [031] ...1. 136276.021796: kvm_tdp_mmu_spte_changed: as id 0 gfn 3c level 1 old_spte 0 new_spte 5a0
             vmm-36697   [031] ...1. 136276.021797: kvm_tdp_mmu_spte_changed: as id 0 gfn 3d level 1 old_spte 0 new_spte 5a0
             vmm-36697   [031] ...1. 136276.021798: kvm_tdp_mmu_spte_changed: as id 0 gfn 3e level 1 old_spte 0 new_spte 5a0
             vmm-36697   [031] ...1. 136276.021799: kvm_tdp_mmu_spte_changed: as id 0 gfn 3f level 1 old_spte 0 new_spte 5a0
             vmm-36697   [031] ...1. 136276.021799: kvm_tdp_mmu_spte_changed: as id 0 gfn 40 level 1 old_spte 0 new_spte 5a0
             vmm-36697   [031] ...1. 136276.021800: kvm_tdp_mmu_spte_changed: as id 0 gfn 41 level 1 old_spte 0 new_spte 5a0
             vmm-36697   [031] ...1. 136276.021801: kvm_tdp_mmu_spte_changed: as id 0 gfn 42 level 1 old_spte 0 new_spte 5a0
             vmm-36697   [031] ...1. 136276.021802: kvm_tdp_mmu_spte_changed: as id 0 gfn 43 level 1 old_spte 0 new_spte 5a0
             vmm-36697   [031] ...1. 136276.021803: kvm_tdp_mmu_spte_changed: as id 0 gfn 44 level 1 old_spte 0 new_spte 5a0
             vmm-36697   [031] ...1. 136276.021803: kvm_tdp_mmu_spte_changed: as id 0 gfn 45 level 1 old_spte 0 new_spte 5a0
             vmm-36697   [031] ...1. 136276.021804: kvm_tdp_mmu_spte_changed: as id 0 gfn 46 level 1 old_spte 0 new_spte 5a0
             vmm-36697   [031] ...1. 136276.021805: kvm_tdp_mmu_spte_changed: as id 0 gfn 47 level 1 old_spte 0 new_spte 5a0
             vmm-36697   [031] ...1. 136276.021806: kvm_tdp_mmu_spte_changed: as id 0 gfn 48 level 1 old_spte 0 new_spte 5a0
